Exercise,Difficulty Level,Target Muscle Group,Primary Equipment,Body Region,Primary Exercise Classification,Video Url
Stability Ball Dead Bug,Beginner,Abdominals,Stability Ball,Midsection,Postural,https://youtu.be/5jDEulwWs04
Bodyweight Glute Bridge,Beginner,Glutes,Bodyweight,Lower Body,Bodybuilding,https://youtu.be/ncpMkhXAykg?si=a_b3ot2rsThtz4DE
Bodyweight Bird Dog,Beginner,Abdominals,Bodyweight,Midsection,Postural,https://youtu.be/tU-WZsouVjo?si=Ti1JUU03OqgnmtX6
Stability Ball Russian Twist ,Beginner,Abdominals,Stability Ball,Midsection,Unsorted*,https://youtu.be/2rbbUJR-Nx4?si=aAPlfM1RYBeErvZk
Stability Ball Feet Elevated Crunch ,Beginner,Abdominals,Stability Ball,Midsection,Unsorted*,https://youtu.be/ByXVlY2L3nw
Ring Hanging Knee Raise ,Intermediate,Abdominals,Gymnastic Rings,Midsection,Calisthenics,https://youtu.be/RPBH_Dw5hUo?si=SqKs_FnqsPMuLdq0
Parallette Mountain Climber,Novice,Abdominals,Parallette Bars,Midsection,Calisthenics,https://youtu.be/W0RoAqlFzrA
Parallette Push Up,Novice,Chest,Parallette Bars,Upper Body,Calisthenics,https://youtu.be/Kbhl_O1N4aw
Bodyweight Knee Hover Bird Dog,Intermediate,Abdominals,Bodyweight,Midsection,Postural,https://youtu.be/fGaqVUHB1aA
Stability Ball V Up Pass,Novice,Abdominals,Stability Ball,Midsection,Unsorted*,https://youtu.be/n4UPDi5BuL0
Bodyweight Dead Bug,Beginner,Abdominals,Bodyweight,Midsection,Postural,https://youtu.be/jbWmbhElf3Q
Bodyweight Alternating Heel Taps,Beginner,Abdominals,Bodyweight,Midsection,Unsorted*,https://youtu.be/URWXz0DmE7s
Bodyweight Flutter Kicks,Beginner,Abdominals,Bodyweight,Midsection,Unsorted*,https://youtu.be/e_s7uBNPnow
Bodyweight Kneeling Forearm Plank,Beginner,Abdominals,Bodyweight,Midsection,Calisthenics,https://youtu.be/Ns1NS9ThNhI
Bodyweight Seated Ab Circles,Novice,Abdominals,Bodyweight,Midsection,Unsorted*,https://youtu.be/GflQ_ymx9Nw
Ring Hanging Oblique Knee Raise,Intermediate,Abdominals,Gymnastic Rings,Midsection,Calisthenics,
Stability Ball Stir the Pot,Novice,Abdominals,Stability Ball,Midsection,Unsorted*,https://youtu.be/IfOtFv6zz8I
Bodyweight Alternating Lateral Kick Through,Intermediate,Abdominals,Bodyweight,Midsection,Animal Flow,https://youtu.be/1jCudOtlLsc
Ring L Sit Hang Flutter Kicks ,Intermediate,Abdominals,Gymnastic Rings,Midsection,Calisthenics,https://youtu.be/Y7Ua1YRsqd0
Slam Ball Russian Twist,Intermediate,Abdominals,Slam Ball,Midsection,Unsorted*,https://youtu.be/qyZ0pAtgo_Y
Dumbbell Otis Up,Novice,Abdominals,Dumbbell,Midsection,Unsorted*,https://youtu.be/vjAjAERSkIk
Single Arm Dumbbell Side Plank Reach Through ,Advanced,Abdominals,Dumbbell,Midsection,Unsorted*,https://youtu.be/Ec9Ymqhe5i4
Ab Wheel Kneeling Rollout,Novice,Abdominals,Ab Wheel,Midsection,Unsorted*,https://youtu.be/QB2Gj1QGfjQ
Cable Seated Crunch,Novice,Abdominals,Cable,Midsection,Unsorted*,https://youtu.be/gQT76pz_X9Y
Cable Kneeling Crunch,Novice,Abdominals,Cable,Midsection,Unsorted*,https://youtu.be/ToJeyhydUxU
Medicine Ball V Up,Novice,Abdominals,Medicine Ball,Midsection,Unsorted*,
Suspension Knee Tuck,Novice,Abdominals,Suspension Trainer,Midsection,Unsorted*,https://youtu.be/z2tctrNfTrY
Suspension Lateral Knee Tuck,Intermediate,Abdominals,Suspension Trainer,Midsection,Unsorted*,https://youtu.be/nedEXGnhHak
Suspension Archer Row ,Novice,Shoulders,Suspension Trainer,Upper Body,Unsorted*,https://youtu.be/O0wf46CgVZg
Single Arm Dumbbell Turkish Get Up,Intermediate,Abdominals,Dumbbell,Full Body,Grinds,https://youtu.be/saYKvqSscuY
Bodyweight Bear Crawl,Novice,Abdominals,Bodyweight,Midsection,Animal Flow,https://youtu.be/8y-C1wUb-3c
Stability Ball Knee Tuck,Novice,Abdominals,Stability Ball,Midsection,Unsorted*,https://youtu.be/Q8MnsYG5sbk?si=8Aln2doES1PVTKQP
Ring Hanging Leg Raise ,Advanced,Abdominals,Gymnastic Rings,Midsection,Calisthenics,https://youtu.be/IMWzJ7zkklA
Parallette L Sit,Advanced,Abdominals,Parallette Bars,Midsection,Calisthenics,https://youtu.be/lLu9U0G7Ogw
Bodyweight Standing Walkout Plank,Intermediate,Abdominals,Bodyweight,Midsection,Calisthenics,https://youtu.be/R6SMJ-TzgZo
Ring Eccentric Pull Up,Novice,Back,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/4vEoBieXyKk
Barbell Climb,Expert,Abdominals,Barbell,Midsection,Calisthenics,
Bodyweight Ipsilateral Bird Dog,Advanced,Abdominals,Bodyweight,Midsection,Unsorted*,https://youtu.be/8e1m4FNO7t8
Bodyweight Copenhagen Plank Knee to Elbow,Advanced,Adductors,Bodyweight,Lower Body,Unsorted*,
Ring Eccentric Chin Up,Novice,Biceps,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/QvgPN5XfDX8?si=0U64Q99rkmh8yNmO
Single Arm Dumbbell Seated Shoulder External Rotation,Novice,Shoulders,Dumbbell,Upper Body,Unsorted*,https://youtu.be/HeY0G79zbGA?si=qV6g26pqatUMpDew
Double Dumbbell Seated Cuban Rotation,Novice,Shoulders,Dumbbell,Upper Body,Unsorted*,https://youtu.be/oYGHjG0jZuA
Double Dumbbell Standing Cuban Rotation,Novice,Shoulders,Dumbbell,Upper Body,Unsorted*,https://youtu.be/_Cfrbn8dxH4
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Novice,Shoulders,Cable,Upper Body,Unsorted*,https://youtu.be/Ff4Dg3T4pNQ?si=xU9cm-kpyPdrIwA0
Miniband Fire Hydrant,Beginner,Glutes,Miniband,Lower Body,Bodybuilding,https://youtu.be/gnzypKUFU6Y
Medicine Ball Russian Twist,Novice,Abdominals,Medicine Ball,Midsection,Unsorted*,https://youtu.be/vT8p57mXVDo?feature=shared
Bodyweight Side Plank,Novice,Abdominals,Bodyweight,Midsection,Calisthenics,https://youtu.be/_R389Jk0tIo
Cable Reverse Crunch,Intermediate,Abdominals,Cable,Midsection,Unsorted*,https://youtu.be/3Mn_4KTDTi0?si=3zBBQ33AQDN7XPp4
Cable Rope Half Kneeling High to Low Chop,Intermediate,Abdominals,Cable,Midsection,Unsorted*,https://youtu.be/hUbRkz4AxkE
Cable Rope Half Kneeling Low to High Chop,Intermediate,Abdominals,Cable,Midsection,Unsorted*,https://youtu.be/48LIxDpby_E?feature=shared
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,Advanced,Adductors,Sliders,Lower Body,Bodybuilding,
Cable Rope Staggered Stance High to Low Chop ,Intermediate,Abdominals,Cable,Midsection,Unsorted*,https://youtu.be/FFaeQW7hwYs?feature=shared
Cable Rope Staggered Stance Low to High Chop,Intermediate,Abdominals,Cable,Midsection,Unsorted*,
Single Arm Dumbbell Windmill,Intermediate,Abdominals,Dumbbell,Midsection,Unsorted*,https://youtu.be/EVLXzqAzAHI
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,Intermediate,Adductors,Sliders,Lower Body,Bodybuilding,
Slider Double Kettlebell Front Rack Lateral Lunge,Novice,Adductors,Sliders,Lower Body,Bodybuilding,
Bodyweight Feet On Wall Mountain Climber ,Advanced,Abdominals,Bodyweight,Midsection,Calisthenics,https://youtu.be/jGwHfj957eU?si=i-ZtryUkm2Geud9J
Slider Double Kettlebell Suitcase Reverse Lunge,Novice,Quadriceps,Sliders,Lower Body,Bodybuilding,https://youtu.be/1SlpUMsiiiw?si=WnEVv0WTROHdU4eR
Bodyweight Hollow Body Hold,Novice,Abdominals,Bodyweight,Midsection,Unsorted*,https://youtu.be/4xRpGgttca8
Dumbbell Crush Grip Hollow Body Hold,Intermediate,Abdominals,Dumbbell,Midsection,Unsorted*,https://youtu.be/Wo-pGZst6l0
Bar Inverted Hanging Crunch,Expert,Abdominals,Pull Up Bar,Midsection,Unsorted*,https://youtu.be/LXQTkeYPki8
Bodyweight Inverted Hanging Oblique Crunch,Expert,Abdominals,Bodyweight,Midsection,Unsorted*,
Slider Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Sliders,Lower Body,Bodybuilding,https://youtu.be/-p1l0vXTtAU?si=ebEJZJZkoWYTDFbC
Bodyweight Supine Alternating Single Leg Raise,Beginner,Abdominals,Bodyweight,Midsection,Unsorted*,https://youtu.be/IUCoqgdvDxU?si=8xtgp1M-mJqke2mR
Bodyweight Supine Leg Raise,Novice,Abdominals,Bodyweight,Midsection,Unsorted*,https://youtu.be/q0JVBRHoLz4
Miniband Bicycle Crunch,Novice,Abdominals,Miniband,Midsection,Unsorted*,https://youtu.be/q_c5MFYuza4
Bodyweight Side Plank Reach Through,Novice,Abdominals,Bodyweight,Midsection,Calisthenics,https://youtu.be/7lfNb_zydvQ
Bodyweight Sit Up,Novice,Abdominals,Bodyweight,Midsection,Unsorted*,https://youtu.be/bT8NVeDvuQg?si=paUR-bam-jwd-xPx
Bodyweight Butterfly Sit Up,Intermediate,Abdominals,Bodyweight,Midsection,Unsorted*,https://youtu.be/ZLyOWSPnVrM
Slider Mountain Climber,Novice,Abdominals,Sliders,Midsection,Unsorted*,https://youtu.be/fjHQIVIPLHY
Slider Pike ,Advanced,Abdominals,Sliders,Midsection,Unsorted*,https://youtu.be/vB803WCcQDk?si=hXUn4t23jP7Bn6R8
